1;5.45;-2.80125;2.81884;-0.660054
2;4.72111;-2.06037;2.58456;-1.01513
3;4.93769;-1.96789;2.48296;-1.01833
4;5.00897;-1.99646;2.49392;-1.00008
5;5.00345;-2.00176;2.5005;-0.999002
6;4.99964;-2.00032;2.50034;-0.99994
7;4.99979;-1.99993;2.49999;-1.00005
8;5.00001;-1.99998;2.49998;-1.00001
9;5.00001;-2;2.5;-0.999998
10;5;-2;2.5;-0.999999
11;5;-2;2.5;-1
12;5;-2;2.5;-1
1;5.70797;-2.99463;3.05172;-0.631883
2;4.58183;-1.95866;2.54326;-1.07755
3;4.98731;-1.95703;2.46528;-1.01245
4;5.02179;-2.00645;2.50045;-0.994867
5;4.99868;-2.00177;2.50175;-0.999783
6;4.99896;-1.99952;2.49983;-1.00029
7;5.00016;-1.99995;2.49992;-0.999987
8;5.00004;-2.00003;2.50002;-0.999986
9;4.99999;-2;2.5;-1
10;5;-2;2.5;-1
11;5;-2;2.5;-1
12;5;-2;2.5;-1
1;5.75278;-3.02878;3.09319;-0.626475
2;4.55375;-1.93764;2.53231;-1.09002
3;4.99963;-1.95705;2.463;-1.00978
4;5.02283;-2.00858;2.50217;-0.994119
5;4.9974;-2.00139;2.50171;-1.00013
6;4.99906;-1.9994;2.49969;-1.0003
7;5.00024;-1.99999;2.49994;-0.99996
8;5.00002;-2.00003;2.50002;-0.999989
9;4.99998;-2;2.5;-1
10;5;-2;2.5;-1
11;5;-2;2.5;-1
1;5.87389;-3.12192;3.20678;-0.611102
2;4.47203;-1.87569;2.49678;-1.12631
3;5.03922;-1.96062;2.45878;-0.999644
4;5.02292;-2.0145;2.50751;-0.992781
5;4.99358;-1.99968;2.50102;-1.00132
6;4.99983;-1.99922;2.49938;-1.00018
7;5.0004;-2.00016;2.50005;-0.999892
8;4.99994;-2.00002;2.50003;-1.00001
9;4.99999;-1.99999;2.49999;-1
10;5.00001;-2;2.5;-0.999999
11;5;-2;2.5;-1
12;5;-2;2.5;-1
